nodeIP,date,sunPower,sunCurrent,sunVoltage,batteryVoltage,chargingCurrent,outputCurrent,outputVoltage,loadPower,systemTemp,batteryTemp,totalGenerated
10.0.70.40,2025-10-11 18:00:10,0.00W,0.00A,20.42V,12.51V,0.00A,0.22A,51.79V,11.39W,40,18,37785WH
10.0.70.40,2025-10-11 19:00:10,0.00W,0.00A,0.00V,12.43V,0.00A,0.21A,51.79V,10.88W,37,17,37785WH
10.0.70.40,2025-10-11 20:00:10,0.00W,0.00A,0.00V,12.49V,0.00A,0.09A,51.82V,4.66W,35,16,37785WH
10.0.70.40,2025-10-11 21:00:10,0.00W,0.00A,0.00V,12.43V,0.00A,0.10A,51.81V,5.18W,33,14,37785WH
10.0.70.40,2025-10-11 22:00:10,0.00W,0.00A,0.00V,12.39V,0.00A,0.09A,51.82V,4.66W,31,12,37785WH
10.0.70.40,2025-10-11 23:00:10,0.00W,0.00A,0.00V,12.37V,0.00A,0.09A,51.86V,4.67W,30,11,37785WH
10.0.70.40,2025-10-12 00:00:10,0.00W,0.00A,0.00V,12.34V,0.00A,0.10A,51.86V,5.19W,29,9,37785WH
10.0.70.40,2025-10-12 01:00:10,0.00W,0.00A,0.00V,12.32V,0.00A,0.09A,51.86V,4.67W,28,8,37785WH
10.0.70.40,2025-10-12 02:00:10,0.00W,0.00A,0.00V,12.30V,0.00A,0.09A,51.84V,4.67W,27,7,37785WH
10.0.70.40,2025-10-12 03:00:10,0.00W,0.00A,0.00V,12.30V,0.00A,0.10A,51.88V,5.19W,26,6,37785WH
10.0.70.40,2025-10-12 04:00:10,0.00W,0.00A,0.00V,12.28V,0.00A,0.10A,51.90V,5.19W,25,6,37785WH
10.0.70.40,2025-10-12 05:00:10,0.00W,0.00A,0.00V,12.28V,0.00A,0.10A,51.90V,5.19W,24,5,37785WH
10.0.70.40,2025-10-12 06:00:10,0.00W,0.00A,0.00V,12.26V,0.00A,0.10A,51.88V,5.19W,23,4,37785WH
10.0.70.40,2025-10-12 07:00:10,0.00W,0.00A,0.00V,12.24V,0.00A,0.09A,51.88V,4.67W,23,4,37785WH
10.0.70.40,2025-10-12 08:00:10,33.05W,2.10A,15.74V,13.09V,1.73A,0.10A,51.88V,5.19W,26,4,37789WH
